,State,Year,Quater,Transacion_type,hover_count,hover_amount
0,andaman-&-nicobar-islands,2020,4,north and middle andaman district,13,17734.0
1,andaman-&-nicobar-islands,2020,4,south andaman district,109,137494.0
2,andaman-&-nicobar-islands,2020,4,nicobars district,2,2747.0
3,andaman-&-nicobar-islands,2021,4,north and middle andaman district,81,182061.0
4,andaman-&-nicobar-islands,2021,4,south andaman district,632,800758.0
5,andaman-&-nicobar-islands,2021,4,nicobars district,44,73561.0
6,andaman-&-nicobar-islands,2022,4,north and middle andaman district,112,224198.0
7,andaman-&-nicobar-islands,2022,4,south andaman district,750,1114857.0
8,andaman-&-nicobar-islands,2022,4,nicobars district,39,102155.0
9,andaman-&-nicobar-islands,2023,4,north and middle andaman district,95,156995.0
10,andaman-&-nicobar-islands,2023,4,south andaman district,1006,1504528.0
11,andaman-&-nicobar-islands,2023,4,nicobars district,44,96298.0
12,andaman-&-nicobar-islands,2024,4,north and middle andaman district,131,219770.0
13,andaman-&-nicobar-islands,2024,4,south andaman district,1085,1670015.0
14,andaman-&-nicobar-islands,2024,4,nicobar district,77,136595.0
15,andhra-pradesh,2020,4,east godavari district,1965,1355741.0
16,andhra-pradesh,2020,4,srikakulam district,811,546440.0
17,andhra-pradesh,2020,4,spsr nellore district,1348,810758.0
18,andhra-pradesh,2020,4,vizianagaram district,897,651040.0
19,andhra-pradesh,2020,4,visakhapatnam district,3464,2203761.0
20,andhra-pradesh,2020,4,prakasam district,1190,572976.0
21,andhra-pradesh,2020,4,anantapur district,1534,794053.0
22,andhra-pradesh,2020,4,ysr district,1165,631876.0
23,andhra-pradesh,2020,4,west godavari district,1390,906282.0
24,andhra-pradesh,2020,4,kurnool district,1092,500768.0
25,andhra-pradesh,2020,4,chittoor district,1727,1168506.0
26,andhra-pradesh,2020,4,guntur district,2570,1620649.0
27,andhra-pradesh,2020,4,krishna district,2311,1222782.0
28,andhra-pradesh,2021,4,east godavari district,2532,3543718.0
29,andhra-pradesh,2021,4,srikakulam district,1116,1152210.0
30,andhra-pradesh,2021,4,spsr nellore district,2369,2345876.0
31,andhra-pradesh,2021,4,vizianagaram district,924,916336.0
32,andhra-pradesh,2021,4,visakhapatnam district,4176,5425896.0
33,andhra-pradesh,2021,4,prakasam district,1181,1328774.0
34,andhra-pradesh,2021,4,anantapur district,1322,2101400.0
35,andhra-pradesh,2021,4,ysr district,1449,1479933.0
36,andhra-pradesh,2021,4,west godavari district,1262,1853561.0
37,andhra-pradesh,2021,4,kurnool district,910,1306288.0
38,andhra-pradesh,2021,4,chittoor district,2444,3100521.0
39,andhra-pradesh,2021,4,guntur district,2709,3214794.0
40,andhra-pradesh,2021,4,krishna district,3029,3841028.0
41,andhra-pradesh,2022,4,east godavari district,4450,5856052.0
42,andhra-pradesh,2022,4,srikakulam district,1294,1623449.0
43,andhra-pradesh,2022,4,spsr nellore district,2733,3658896.0
44,andhra-pradesh,2022,4,vizianagaram district,1373,1680979.0
45,andhra-pradesh,2022,4,visakhapatnam district,7636,9911879.0
46,andhra-pradesh,2022,4,prakasam district,2400,2848596.0
47,andhra-pradesh,2022,4,anantapur district,2425,3710468.0
48,andhra-pradesh,2022,4,ysr district,2261,2993022.0
49,andhra-pradesh,2022,4,west godavari district,2623,3513389.0
50,andhra-pradesh,2022,4,kurnool district,1810,2859172.0
51,andhra-pradesh,2022,4,chittoor district,4641,6166050.0
52,andhra-pradesh,2022,4,guntur district,5199,6244165.0
53,andhra-pradesh,2022,4,krishna district,5484,6977122.0
54,andhra-pradesh,2023,4,east godavari district,4294,6404501.0
55,andhra-pradesh,2023,4,srikakulam district,1327,1851290.0
56,andhra-pradesh,2023,4,spsr nellore district,2739,3968074.0
57,andhra-pradesh,2023,4,vizianagaram district,1350,1745449.0
58,andhra-pradesh,2023,4,visakhapatnam district,8787,12027284.0
59,andhra-pradesh,2023,4,prakasam district,1561,2357325.0
60,andhra-pradesh,2023,4,anantapur district,2143,3651525.0
61,andhra-pradesh,2023,4,ysr district,1923,2738253.0
62,andhra-pradesh,2023,4,west godavari district,2198,3630998.0
63,andhra-pradesh,2023,4,kurnool district,1829,3161720.0
64,andhra-pradesh,2023,4,chittoor district,4025,7322967.0
65,andhra-pradesh,2023,4,guntur district,4354,6154821.0
66,andhra-pradesh,2023,4,krishna district,5268,7328216.0
67,andhra-pradesh,2024,4,east godavari district,2499,3119010.0
68,andhra-pradesh,2024,4,srikakulam district,1874,2198375.0
69,andhra-pradesh,2024,4,visakhapatnam district,9897,13254184.0
70,andhra-pradesh,2024,4,sri potti sriramulu nellore district,3193,4050293.0
71,andhra-pradesh,2024,4,kurnool district,1371,2100914.0
72,andhra-pradesh,2024,4,guntur district,4159,5517638.0
73,andhra-pradesh,2024,4,krishna district,1706,2112206.0
74,andhra-pradesh,2024,4,annamayya district,1343,2036321.0
