,State,Year,Quater,Transacion_type,hover_count,hover_amount
0,andaman-&-nicobar-islands,2018,4,north and middle andaman district,2137,7955635.917688001
1,andaman-&-nicobar-islands,2018,4,south andaman district,20136,75411840.8018554
2,andaman-&-nicobar-islands,2018,4,nicobars district,1485,7180859.354911782
3,andaman-&-nicobar-islands,2019,4,north and middle andaman district,4716,13524056.784573946
4,andaman-&-nicobar-islands,2019,4,south andaman district,27843,110930312.20611623
5,andaman-&-nicobar-islands,2019,4,nicobars district,2600,12384161.52668771
6,andaman-&-nicobar-islands,2020,4,north and middle andaman district,29349,68941322.38839513
7,andaman-&-nicobar-islands,2020,4,south andaman district,186494,523122462.88302904
8,andaman-&-nicobar-islands,2020,4,nicobars district,8688,35218871.04342849
9,andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115,156486112.28732437
10,andaman-&-nicobar-islands,2021,4,south andaman district,558571,1694794708.0093334
11,andaman-&-nicobar-islands,2021,4,nicobars district,24437,81329281.0269996
12,andaman-&-nicobar-islands,2022,4,north and middle andaman district,93297,241431284.3558103
13,andaman-&-nicobar-islands,2022,4,south andaman district,1835592,3600887266.099448
14,andaman-&-nicobar-islands,2022,4,nicobars district,58646,142355853.97352526
15,andaman-&-nicobar-islands,2023,4,north and middle andaman district,230234,540759631.0
16,andaman-&-nicobar-islands,2023,4,south andaman district,3311962,5417264997.0
17,andaman-&-nicobar-islands,2023,4,nicobars district,153587,311527871.0
18,andaman-&-nicobar-islands,2024,4,north and middle andaman district,411230,759100984.0
19,andaman-&-nicobar-islands,2024,4,south andaman district,5419850,7760167334.0
20,andaman-&-nicobar-islands,2024,4,nicobar district,232820,401676455.0
21,andhra-pradesh,2018,4,east godavari district,3052762,4652624623.436675
22,andhra-pradesh,2018,4,srikakulam district,1252807,1870278609.504549
23,andhra-pradesh,2018,4,spsr nellore district,1814997,3293448556.9734454
24,andhra-pradesh,2018,4,vizianagaram district,1386787,1817673252.5417767
25,andhra-pradesh,2018,4,visakhapatnam district,4791421,7366635864.849373
26,andhra-pradesh,2018,4,prakasam district,1692862,3255254226.03728
27,andhra-pradesh,2018,4,anantapur district,2286391,3975878156.329829
28,andhra-pradesh,2018,4,ysr district,1732527,3252340063.2478595
29,andhra-pradesh,2018,4,west godavari district,1688482,3237504255.4632454
30,andhra-pradesh,2018,4,kurnool district,2508530,3626544852.4069242
31,andhra-pradesh,2018,4,chittoor district,3166201,4979093890.223491
32,andhra-pradesh,2018,4,guntur district,2546620,4730251217.696959
33,andhra-pradesh,2018,4,krishna district,2839161,5416251838.130407
34,andhra-pradesh,2019,4,east godavari district,9285739,16816774065.301317
35,andhra-pradesh,2019,4,srikakulam district,3712555,6832369301.879345
36,andhra-pradesh,2019,4,spsr nellore district,5877804,11786014089.194027
37,andhra-pradesh,2019,4,vizianagaram district,3998234,7175851807.068796
38,andhra-pradesh,2019,4,visakhapatnam district,23594874,39133296330.044624
39,andhra-pradesh,2019,4,prakasam district,4865473,10604077824.801035
40,andhra-pradesh,2019,4,anantapur district,6764112,13887248889.064066
41,andhra-pradesh,2019,4,ysr district,4793157,10865073855.730783
42,andhra-pradesh,2019,4,west godavari district,4596479,9710614747.20177
43,andhra-pradesh,2019,4,kurnool district,7001958,13233105728.54823
44,andhra-pradesh,2019,4,chittoor district,11246986,19298476027.875484
45,andhra-pradesh,2019,4,guntur district,9761330,18565626418.035915
46,andhra-pradesh,2019,4,krishna district,11719402,23039786404.04664
47,andhra-pradesh,2020,4,east godavari district,25989490,58732615663.118416
48,andhra-pradesh,2020,4,srikakulam district,11092184,25222520275.27882
49,andhra-pradesh,2020,4,spsr nellore district,20934374,49115443663.37911
50,andhra-pradesh,2020,4,vizianagaram district,10580824,24094847668.445065
51,andhra-pradesh,2020,4,visakhapatnam district,46551467,91879823025.40399
52,andhra-pradesh,2020,4,prakasam district,16176867,41852443493.515396
53,andhra-pradesh,2020,4,anantapur district,20996384,49732610814.26222
54,andhra-pradesh,2020,4,ysr district,15676878,42572974713.44026
55,andhra-pradesh,2020,4,west godavari district,15674762,40310975762.603455
56,andhra-pradesh,2020,4,kurnool district,18737323,44718203115.22612
57,andhra-pradesh,2020,4,chittoor district,29590411,61505711149.79541
58,andhra-pradesh,2020,4,guntur district,26136538,60641872021.25432
59,andhra-pradesh,2020,4,krishna district,27981050,64461504667.60723
60,andhra-pradesh,2021,4,east godavari district,48992531,106725597026.00356
61,andhra-pradesh,2021,4,srikakulam district,18501857,39713657870.15512
62,andhra-pradesh,2021,4,spsr nellore district,41921081,92256405076.26547
63,andhra-pradesh,2021,4,vizianagaram district,17253059,36577529464.9687
64,andhra-pradesh,2021,4,visakhapatnam district,82711538,159530099772.73474
65,andhra-pradesh,2021,4,prakasam district,27858275,71323060008.47623
66,andhra-pradesh,2021,4,anantapur district,36129136,81239787006.64764
67,andhra-pradesh,2021,4,ysr district,26340348,69081850069.2033
68,andhra-pradesh,2021,4,west godavari district,33235175,81292461575.08182
69,andhra-pradesh,2021,4,kurnool district,31782248,73968947669.64754
70,andhra-pradesh,2021,4,chittoor district,51119640,103985734663.73514
71,andhra-pradesh,2021,4,guntur district,50919286,115553993673.17337
72,andhra-pradesh,2021,4,krishna district,55489829,125015323207.89836
73,andhra-pradesh,2022,4,east godavari district,68016055,136531110139.86256
74,andhra-pradesh,2022,4,srikakulam district,23693779,47726411107.88628
75,andhra-pradesh,2022,4,spsr nellore district,42582064,92085916180.6851
76,andhra-pradesh,2022,4,vizianagaram district,22205190,44467386404.34758
77,andhra-pradesh,2022,4,visakhapatnam district,103790055,185306149744.73108
78,andhra-pradesh,2022,4,prakasam district,37211077,88105031866.36835
79,andhra-pradesh,2022,4,anantapur district,48299601,101533878537.23433
80,andhra-pradesh,2022,4,ysr district,35201596,87360426792.81667
81,andhra-pradesh,2022,4,west godavari district,47919930,105335724990.59325
82,andhra-pradesh,2022,4,kurnool district,43524766,94667441029.08345
83,andhra-pradesh,2022,4,chittoor district,70322534,136840859888.18155
84,andhra-pradesh,2022,4,guntur district,70723763,146938735166.52365
85,andhra-pradesh,2022,4,krishna district,76526667,157826011193.35443
86,andhra-pradesh,2023,4,east godavari district,162793144,282329255747.0
87,andhra-pradesh,2023,4,srikakulam district,56291337,97021746702.0
88,andhra-pradesh,2023,4,spsr nellore district,97721962,179306028468.0
89,andhra-pradesh,2023,4,vizianagaram district,53248760,90289502507.0
90,andhra-pradesh,2023,4,visakhapatnam district,223584765,344512874812.0
91,andhra-pradesh,2023,4,prakasam district,89721677,174929737360.0
92,andhra-pradesh,2023,4,anantapur district,113698752,203367177888.0
93,andhra-pradesh,2023,4,ysr district,83729195,176644897379.0
94,andhra-pradesh,2023,4,west godavari district,114825704,209237892746.0
95,andhra-pradesh,2023,4,kurnool district,103816175,190597527675.0
96,andhra-pradesh,2023,4,chittoor district,163521593,274132458092.0
97,andhra-pradesh,2023,4,guntur district,160724947,281806839570.0
98,andhra-pradesh,2023,4,krishna district,173309415,298339038877.0
99,andhra-pradesh,2024,4,east godavari district,96791979,147921011637.0
100,andhra-pradesh,2024,4,srikakulam district,68020232,104655474413.0
101,andhra-pradesh,2024,4,visakhapatnam district,229565019,302371361659.0
102,andhra-pradesh,2024,4,sri potti sriramulu nellore district,114316424,182545036925.0
103,andhra-pradesh,2024,4,kurnool district,84094067,125400553798.0
104,andhra-pradesh,2024,4,guntur district,139286726,201755300053.0
105,andhra-pradesh,2024,4,krishna district,59157277,87816112495.0
106,andhra-pradesh,2024,4,annamayya district,67565763,115547782003.0
107,andhra-pradesh,2024,4,ananthapuramu district,100670947,151922187881.0
108,andhra-pradesh,2024,4,vizianagaram district,68941987,103240952250.0
109,andhra-pradesh,2024,4,tirupati district,159672169,217180680249.0
110,andhra-pradesh,2024,4,alluri sitharama raju district,16328675,22054853299.0
111,andhra-pradesh,2024,4,nandyal district,65846099,107236824037.0
112,andhra-pradesh,2024,4,sri sathyasai district,59833855,91086871790.0
113,andhra-pradesh,2024,4,palnadu district,68725562,111366598419.0
114,andhra-pradesh,2024,4,prakasam district,90937455,149042387778.0
115,andhra-pradesh,2024,4,parvathipuram manyam district,17808047,29400489754.0
116,andhra-pradesh,2024,4,dr br ambedkar konaseema district,59479299,92702253484.0
117,andhra-pradesh,2024,4,bapatla district,50922968,79581355819.0
118,andhra-pradesh,2024,4,ntr district,171465537,247316521377.0
119,andhra-pradesh,2024,4,kakinada district,106856932,150518386058.0
120,andhra-pradesh,2024,4,anakapalli district,68465689,101420705724.0
121,andhra-pradesh,2024,4,ysr district,87733584,154462449389.0
122,andhra-pradesh,2024,4,west godavari district,80979438,126425425232.0
