,State,Year,Quater,Transacion_type,Transacion_count,Transacion_amount
0,andaman-&-nicobar-islands,2020,4,south andaman,109,137494.0
1,andaman-&-nicobar-islands,2020,4,north and middle andaman,13,17734.0
2,andaman-&-nicobar-islands,2020,4,nicobars,2,2747.0
3,andaman-&-nicobar-islands,2021,4,south andaman,632,800758.0
4,andaman-&-nicobar-islands,2021,4,north and middle andaman,81,182061.0
5,andaman-&-nicobar-islands,2021,4,nicobars,44,73561.0
6,andaman-&-nicobar-islands,2022,4,south andaman,750,1114857.0
7,andaman-&-nicobar-islands,2022,4,north and middle andaman,112,224198.0
8,andaman-&-nicobar-islands,2022,4,nicobars,39,102155.0
9,andaman-&-nicobar-islands,2023,4,south andaman,1006,1504528.0
10,andaman-&-nicobar-islands,2023,4,north and middle andaman,95,156995.0
11,andaman-&-nicobar-islands,2023,4,nicobars,44,96298.0
12,andaman-&-nicobar-islands,2024,4,south andaman,1085,1670015.0
13,andaman-&-nicobar-islands,2024,4,north and middle andaman,131,219770.0
14,andaman-&-nicobar-islands,2024,4,nicobar,77,136595.0
15,andhra-pradesh,2020,4,visakhapatnam,3464,2203761.0
16,andhra-pradesh,2020,4,guntur,2570,1620649.0
17,andhra-pradesh,2020,4,krishna,2311,1222782.0
18,andhra-pradesh,2020,4,east godavari,1965,1355741.0
19,andhra-pradesh,2020,4,chittoor,1727,1168506.0
20,andhra-pradesh,2020,4,anantapur,1534,794053.0
21,andhra-pradesh,2020,4,west godavari,1390,906282.0
22,andhra-pradesh,2020,4,spsr nellore,1348,810758.0
23,andhra-pradesh,2020,4,prakasam,1190,572976.0
24,andhra-pradesh,2020,4,ysr,1165,631876.0
25,andhra-pradesh,2021,4,visakhapatnam,4176,5425896.0
26,andhra-pradesh,2021,4,krishna,3029,3841028.0
27,andhra-pradesh,2021,4,guntur,2709,3214794.0
28,andhra-pradesh,2021,4,east godavari,2532,3543718.0
29,andhra-pradesh,2021,4,chittoor,2444,3100521.0
30,andhra-pradesh,2021,4,spsr nellore,2369,2345876.0
31,andhra-pradesh,2021,4,ysr,1449,1479933.0
32,andhra-pradesh,2021,4,anantapur,1322,2101400.0
33,andhra-pradesh,2021,4,west godavari,1262,1853561.0
34,andhra-pradesh,2021,4,prakasam,1181,1328774.0
35,andhra-pradesh,2022,4,visakhapatnam,7636,9911879.0
36,andhra-pradesh,2022,4,krishna,5484,6977122.0
37,andhra-pradesh,2022,4,guntur,5199,6244165.0
38,andhra-pradesh,2022,4,chittoor,4641,6166050.0
39,andhra-pradesh,2022,4,east godavari,4450,5856052.0
40,andhra-pradesh,2022,4,spsr nellore,2733,3658896.0
41,andhra-pradesh,2022,4,west godavari,2623,3513389.0
42,andhra-pradesh,2022,4,anantapur,2425,3710468.0
43,andhra-pradesh,2022,4,prakasam,2400,2848596.0
44,andhra-pradesh,2022,4,ysr,2261,2993022.0
45,andhra-pradesh,2023,4,visakhapatnam,8787,12027284.0
46,andhra-pradesh,2023,4,krishna,5268,7328216.0
47,andhra-pradesh,2023,4,guntur,4354,6154821.0
48,andhra-pradesh,2023,4,east godavari,4294,6404501.0
49,andhra-pradesh,2023,4,chittoor,4025,7322967.0
50,andhra-pradesh,2023,4,spsr nellore,2739,3968074.0
51,andhra-pradesh,2023,4,west godavari,2198,3630998.0
52,andhra-pradesh,2023,4,anantapur,2143,3651525.0
53,andhra-pradesh,2023,4,ysr,1923,2738253.0
54,andhra-pradesh,2023,4,kurnool,1829,3161720.0
55,andhra-pradesh,2024,4,visakhapatnam,9897,13254184.0
56,andhra-pradesh,2024,4,ntr,7077,8504106.0
57,andhra-pradesh,2024,4,tirupati,4169,6081241.0
58,andhra-pradesh,2024,4,guntur,4159,5517638.0
59,andhra-pradesh,2024,4,sri potti sriramulu nellore,3193,4050293.0
60,andhra-pradesh,2024,4,kakinada,2905,3879273.0
61,andhra-pradesh,2024,4,east godavari,2499,3119010.0
62,andhra-pradesh,2024,4,prakasam,2499,2645564.0
63,andhra-pradesh,2024,4,anakapalli,2018,2214934.0
64,andhra-pradesh,2024,4,vizianagaram,1926,1988306.0
65,arunachal-pradesh,2020,4,papum pare,48,21298.0
