,State,Year,Quater,Transacion_type,Transacion_count,Transacion_amount
0,andaman-&-nicobar-islands,2018,4,south andaman,20136,75411840.8018554
1,andaman-&-nicobar-islands,2018,4,north and middle andaman,2137,7955635.917688001
2,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
3,andaman-&-nicobar-islands,2019,4,south andaman,27843,110930312.20611623
4,andaman-&-nicobar-islands,2019,4,north and middle andaman,4716,13524056.784573946
5,andaman-&-nicobar-islands,2019,4,nicobars,2600,12384161.52668771
6,andaman-&-nicobar-islands,2020,4,south andaman,186494,523122462.883029
7,andaman-&-nicobar-islands,2020,4,north and middle andaman,29349,68941322.38839513
8,andaman-&-nicobar-islands,2020,4,nicobars,8688,35218871.04342848
9,andaman-&-nicobar-islands,2021,4,south andaman,558571,1694794708.0093331
10,andaman-&-nicobar-islands,2021,4,north and middle andaman,53115,156486112.28732437
11,andaman-&-nicobar-islands,2021,4,nicobars,24437,81329281.0269996
12,andaman-&-nicobar-islands,2022,4,south andaman,1835592,3600887266.099448
13,andaman-&-nicobar-islands,2022,4,north and middle andaman,93297,241431284.35581034
14,andaman-&-nicobar-islands,2022,4,nicobars,58646,142355853.97352523
15,andaman-&-nicobar-islands,2023,4,south andaman,3311962,5417264997.0
16,andaman-&-nicobar-islands,2023,4,north and middle andaman,230234,540759631.0
17,andaman-&-nicobar-islands,2023,4,nicobars,153587,311527871.0
18,andaman-&-nicobar-islands,2024,4,south andaman,5419850,7760167334.0
19,andaman-&-nicobar-islands,2024,4,north and middle andaman,411230,759100984.0
20,andaman-&-nicobar-islands,2024,4,nicobar,232820,401676455.0
21,andhra-pradesh,2018,4,visakhapatnam,4791421,7366635864.849373
22,andhra-pradesh,2018,4,chittoor,3166201,4979093890.223491
23,andhra-pradesh,2018,4,east godavari,3052762,4652624623.436675
24,andhra-pradesh,2018,4,krishna,2839161,5416251838.130407
25,andhra-pradesh,2018,4,guntur,2546620,4730251217.696959
26,andhra-pradesh,2018,4,kurnool,2508530,3626544852.4069242
27,andhra-pradesh,2018,4,anantapur,2286391,3975878156.329829
28,andhra-pradesh,2018,4,spsr nellore,1814997,3293448556.973445
29,andhra-pradesh,2018,4,ysr,1732527,3252340063.2478595
30,andhra-pradesh,2018,4,prakasam,1692862,3255254226.03728
31,andhra-pradesh,2019,4,visakhapatnam,23594874,39133296330.04462
32,andhra-pradesh,2019,4,krishna,11719402,23039786404.046635
33,andhra-pradesh,2019,4,chittoor,11246986,19298476027.875484
34,andhra-pradesh,2019,4,guntur,9761330,18565626418.035915
35,andhra-pradesh,2019,4,east godavari,9285739,16816774065.301317
36,andhra-pradesh,2019,4,kurnool,7001958,13233105728.54823
37,andhra-pradesh,2019,4,anantapur,6764112,13887248889.064064
38,andhra-pradesh,2019,4,spsr nellore,5877804,11786014089.194025
39,andhra-pradesh,2019,4,prakasam,4865473,10604077824.801035
40,andhra-pradesh,2019,4,ysr,4793157,10865073855.730782
41,andhra-pradesh,2020,4,visakhapatnam,46551467,91879823025.40399
42,andhra-pradesh,2020,4,chittoor,29590411,61505711149.79541
43,andhra-pradesh,2020,4,krishna,27981050,64461504667.60722
44,andhra-pradesh,2020,4,guntur,26136538,60641872021.25432
45,andhra-pradesh,2020,4,east godavari,25989490,58732615663.11841
46,andhra-pradesh,2020,4,anantapur,20996384,49732610814.26222
47,andhra-pradesh,2020,4,spsr nellore,20934374,49115443663.37911
48,andhra-pradesh,2020,4,kurnool,18737323,44718203115.22612
49,andhra-pradesh,2020,4,prakasam,16176867,41852443493.515396
50,andhra-pradesh,2020,4,ysr,15676878,42572974713.440254
51,andhra-pradesh,2021,4,visakhapatnam,82711538,159530099772.73474
52,andhra-pradesh,2021,4,krishna,55489829,125015323207.89836
53,andhra-pradesh,2021,4,chittoor,51119640,103985734663.73514
54,andhra-pradesh,2021,4,guntur,50919286,115553993673.17336
55,andhra-pradesh,2021,4,east godavari,48992531,106725597026.00357
